COGs,Trait
1396,Aquatic
1470,Aquatic
1466,Aquatic
1313,Aquatic
1474,Aquatic
1461,Aquatic
1452,Aquatic
1473,Aquatic
1463,Aquatic
1465,Aquatic
1463,Aquatic
1461,Aquatic
1452,Aquatic
1454,Aquatic
1456,Aquatic
1453,Aquatic
1459,Aquatic
1459,Aquatic
1462,Aquatic
1452,Aquatic
1461,Aquatic
1457,Aquatic
1458,Aquatic
1456,Aquatic
1462,Aquatic
1442,Aquatic
1453,Aquatic
1458,Aquatic
1453,Aquatic
1460,Aquatic
1460,Aquatic
1464,Aquatic
1463,Aquatic
1468,Aquatic
1452,Aquatic
1461,Aquatic
1457,Aquatic
1451,Aquatic
1464,Aquatic
1456,Aquatic
1471,Aquatic
1459,Aquatic
1456,Aquatic
1459,Aquatic
1460,Aquatic
1455,Aquatic
1459,Aquatic
1465,Aquatic
1468,Aquatic
1454,Aquatic
1460,Aquatic
1465,Aquatic
1462,Aquatic
1458,Aquatic
1462,Aquatic
1461,Aquatic
1463,Aquatic
1470,Aquatic
1480,Aquatic
1467,Aquatic
1458,Aquatic
1462,Aquatic
1460,Aquatic
1459,Aquatic
1467,Aquatic
1460,Aquatic
1455,Aquatic
1443,Aquatic
1456,Aquatic
1455,Aquatic
1461,Aquatic
1470,Aquatic
1472,Aquatic
1458,Aquatic
1470,Aquatic
1461,Aquatic
1451,Aquatic
1461,Aquatic
1458,Aquatic
1478,Aquatic
1479,Aquatic
1474,Aquatic
1462,Aquatic
1461,Aquatic
1460,Aquatic
1455,Aquatic
1461,Aquatic
1457,Aquatic
1457,Aquatic
1452,Aquatic
1451,Aquatic
1453,Aquatic
1452,Aquatic
1452,Aquatic
1451,Aquatic
1454,Aquatic
1461,Aquatic
1476,Aquatic
1460,Aquatic
1455,Aquatic
1459,Aquatic
1458,Aquatic
1462,Aquatic
1455,Aquatic
1473,Aquatic
1461,Aquatic
1467,Aquatic
1463,Aquatic
1459,Aquatic
1459,Aquatic
1453,Aquatic
1453,Aquatic
1449,Aquatic
1454,Aquatic
1460,Aquatic
1458,Aquatic
1458,Aquatic
1463,Aquatic
1461,Aquatic
1463,Aquatic
1463,Aquatic
1473,Aquatic
1461,Aquatic
1460,Aquatic
1469,Aquatic
1465,Aquatic
1466,Aquatic
1467,Aquatic
1460,Aquatic
1461,Aquatic
1468,Aquatic
1465,Aquatic
1463,Aquatic
1470,Aquatic
1467,Aquatic
1450,Aquatic
1460,Aquatic
1464,Aquatic
1466,Aquatic
1460,Aquatic
1456,Aquatic
1460,Aquatic
1464,Aquatic
1475,Aquatic
1463,Aquatic
1458,Aquatic
1471,Aquatic
1469,Aquatic
1457,Aquatic
1463,Aquatic
1455,Aquatic
1462,Aquatic
1463,Aquatic
1461,Aquatic
1462,Aquatic
1460,Aquatic
1460,Aquatic
1461,Aquatic
1462,Aquatic
1459,Aquatic
1461,Aquatic
1459,Aquatic
1457,Aquatic
1457,Aquatic
1459,Aquatic
1456,Aquatic
1451,Aquatic
1446,Aquatic
1456,Aquatic
1451,Aquatic
1454,Aquatic
1456,Aquatic
1460,Aquatic
1467,Aquatic
1461,Aquatic
1462,Aquatic
1460,Aquatic
1461,Aquatic
1469,Aquatic
1459,Aquatic
1455,Aquatic
1460,Aquatic
1454,Aquatic
1460,Aquatic
1442,Aquatic
1465,Aquatic
1457,Aquatic
1460,Aquatic
1465,Aquatic
1469,Aquatic
1465,Aquatic
1466,Aquatic
1467,Aquatic
1458,Aquatic
1458,Aquatic
1460,Aquatic
1461,Aquatic
1460,Aquatic
1464,Aquatic
1465,Aquatic
1463,Aquatic
1462,Aquatic
1456,Aquatic
1459,Aquatic
1457,Aquatic
1452,Aquatic
1465,Aquatic
1461,Aquatic
1463,Aquatic
1459,Aquatic
1464,Aquatic
1461,Aquatic
1463,Aquatic
1461,Aquatic
1462,Aquatic
1466,Aquatic
1459,Aquatic
1454,Aquatic
1462,Aquatic
1467,Aquatic
1468,Aquatic
1437,Aquatic
1460,Aquatic
1476,Aquatic
1454,Aquatic
1452,Aquatic
1468,Aquatic
1459,Aquatic
1270,Aquatic
1275,Aquatic
1248,Aquatic
1354,Aquatic
1355,Aquatic
1354,Aquatic
1283,Aquatic
1412,Aquatic
1386,Aquatic
1418,Aquatic
1433,Aquatic
1429,Aquatic
1429,Aquatic
1431,Aquatic
1253,Aquatic
1340,Aquatic
1344,Aquatic
1383,Aquatic
1387,Aquatic
1227,Aquatic
1392,Aquatic
1379,Aquatic
1405,Aquatic
1399,Aquatic
1396,Aquatic
1396,Aquatic
1401,Aquatic
1411,Aquatic
1364,Aquatic
1419,Aquatic
1414,Aquatic
1386,Aquatic
1364,Aquatic
1113,Aquatic
1379,Aquatic
1415,Aquatic
1416,Aquatic
1396,Aquatic
1429,Aquatic
1420,Aquatic
1358,Aquatic
1352,Aquatic
1341,Aquatic
1349,Aquatic
1341,Aquatic
1353,Aquatic
1359,Aquatic
1408,Aquatic
1369,Aquatic
1152,Aquatic
1403,Aquatic
1387,Aquatic
1352,Aquatic
1399,Aquatic
1413,Aquatic
1410,Aquatic
1409,Aquatic
1322,Aquatic
1321,Aquatic
1325,Aquatic
1322,Aquatic
1373,Aquatic
1374,Aquatic
1366,Aquatic
1379,Aquatic
1354,Aquatic
1359,Aquatic
1364,Aquatic
1308,Aquatic
1378,Aquatic
1375,Aquatic
1362,Aquatic
1391,Aquatic
1345,Aquatic
1584,Aquatic
1377,Aquatic
1353,Aquatic
1343,Aquatic
1422,Aquatic
1394,Aquatic
1335,Aquatic
1339,Aquatic
1332,Aquatic
1315,Aquatic
1389,Aquatic
1315,Aquatic
1321,Aquatic
1370,Aquatic
1374,Aquatic
1412,Aquatic
1309,Aquatic
1375,Aquatic
1359,Aquatic
1411,Aquatic
1398,Aquatic
1355,Aquatic
1382,Aquatic
1422,Aquatic
1389,Aquatic
1389,Aquatic
1367,Aquatic
1432,Aquatic
1401,Aquatic
1395,Aquatic
1440,Aquatic
1400,Aquatic
1367,Aquatic
1398,Aquatic
1369,Aquatic
1381,Aquatic
1327,Aquatic
1406,Aquatic
1407,Aquatic
1385,Aquatic
1372,Aquatic
1384,Aquatic
1361,Aquatic
1368,Aquatic
1369,Aquatic
1357,Aquatic
1371,Aquatic
1433,Aquatic
1428,Aquatic
1357,Aquatic
1372,Aquatic
1386,Aquatic
1384,Aquatic
1385,Aquatic
1395,Aquatic
1397,Aquatic
1429,Aquatic
1376,Aquatic
1405,Aquatic
1408,Aquatic
1401,Aquatic
1406,Aquatic
1404,Aquatic
1407,Aquatic
1401,Aquatic
1407,Aquatic
1409,Aquatic
1408,Aquatic
1422,Aquatic
1430,Aquatic
1406,Aquatic
1408,Aquatic
1404,Aquatic
1404,Aquatic
1405,Aquatic
1424,Aquatic
1386,Aquatic
1423,Aquatic
1362,Aquatic
1415,Aquatic
1410,Aquatic
1429,Aquatic
1374,Aquatic
1401,Aquatic
1404,Aquatic
1444,Aquatic
1446,Aquatic
1446,Aquatic
1444,Aquatic
1442,Aquatic
1446,Aquatic
1446,Aquatic
1447,Aquatic
1445,Aquatic
1439,Aquatic
1444,Aquatic
1425,Aquatic
1430,Aquatic
1430,Aquatic
1403,Aquatic
1405,Aquatic
1381,Aquatic
1434,Aquatic
1404,Aquatic
1430,Aquatic
1408,Aquatic
1376,Aquatic
1391,Aquatic
1380,Aquatic
1423,Aquatic
1405,Aquatic
1369,Aquatic
1408,Aquatic
1421,Aquatic
1376,Aquatic
1431,Aquatic
1430,Aquatic
1402,Aquatic
1425,Aquatic
1425,Aquatic
1434,Aquatic
1430,Aquatic
1404,Aquatic
1367,Aquatic
1432,Aquatic
1432,Aquatic
1432,Aquatic
1435,Aquatic
1429,Aquatic
1429,Aquatic
1404,Aquatic
1399,Aquatic
1357,Aquatic
1363,Aquatic
1429,Aquatic
1403,Aquatic
1399,Aquatic
1400,Aquatic
1177,Aquatic
1391,Aquatic
1351,Aquatic
1381,Aquatic
1421,Aquatic
1277,Aquatic
1401,Aquatic
1312,Aquatic
1388,Aquatic
1417,Aquatic
1375,Aquatic
1428,Aquatic
1383,Aquatic
1382,Aquatic
1406,Aquatic
1419,Aquatic
1267,Aquatic
1409,Aquatic
1400,Aquatic
1391,Aquatic
1439,Aquatic
1399,Aquatic
1433,Aquatic
1382,Aquatic
1424,Aquatic
1435,Aquatic
1431,Aquatic
1359,Aquatic
1428,Aquatic
1435,Aquatic
1435,Aquatic
1435,Aquatic
1435,Aquatic
1430,Aquatic
1386,Aquatic
1389,Aquatic
1405,Aquatic
1406,Aquatic
1428,Aquatic
1347,Aquatic
1387,Aquatic
1442,Aquatic
1314,Aquatic
1393,Aquatic
1428,Aquatic
1439,Aquatic
1457,Aquatic
1296,Aquatic
1287,Aquatic
1272,Aquatic
1444,Aquatic
1087,Aquatic
1305,Aquatic
1360,Aquatic
1393,Aquatic
1393,Aquatic
1393,Aquatic
1337,Aquatic
1374,Aquatic
1482,Aquatic
1376,Aquatic
1379,Aquatic
1412,Aquatic
1393,Aquatic
1393,Aquatic
1305,Aquatic
1267,Aquatic
1314,Aquatic
