HGTs,Niche
1074,Acuatic
1009,Acuatic
879,Acuatic
717,Acuatic
992,Acuatic
911,Acuatic
893,Acuatic
928,Acuatic
881,Acuatic
884,Acuatic
920,Acuatic
936,Acuatic
893,Acuatic
887,Acuatic
856,Acuatic
871,Acuatic
895,Acuatic
878,Acuatic
898,Acuatic
888,Acuatic
852,Acuatic
893,Acuatic
894,Acuatic
885,Acuatic
836,Acuatic
896,Acuatic
875,Acuatic
860,Acuatic
855,Acuatic
903,Acuatic
873,Acuatic
841,Acuatic
919,Acuatic
877,Acuatic
899,Acuatic
876,Acuatic
875,Acuatic
902,Acuatic
907,Acuatic
886,Acuatic
934,Acuatic
879,Acuatic
867,Acuatic
875,Acuatic
874,Acuatic
910,Acuatic
873,Acuatic
854,Acuatic
927,Acuatic
1026,Acuatic
890,Acuatic
885,Acuatic
883,Acuatic
885,Acuatic
963,Acuatic
1083,Acuatic
958,Acuatic
956,Acuatic
990,Acuatic
977,Acuatic
874,Acuatic
947,Acuatic
969,Acuatic
950,Acuatic
969,Acuatic
911,Acuatic
944,Acuatic
938,Acuatic
987,Acuatic
864,Acuatic
901,Acuatic
886,Acuatic
945,Acuatic
865,Acuatic
908,Acuatic
888,Acuatic
865,Acuatic
986,Acuatic
871,Acuatic
874,Acuatic
970,Acuatic
926,Acuatic
1004,Acuatic
986,Acuatic
862,Acuatic
861,Acuatic
984,Acuatic
896,Acuatic
873,Acuatic
865,Acuatic
896,Acuatic
890,Acuatic
892,Acuatic
880,Acuatic
882,Acuatic
940,Acuatic
892,Acuatic
952,Acuatic
984,Acuatic
957,Acuatic
951,Acuatic
883,Acuatic
863,Acuatic
883,Acuatic
971,Acuatic
971,Acuatic
892,Acuatic
874,Acuatic
967,Acuatic
944,Acuatic
923,Acuatic
883,Acuatic
901,Acuatic
894,Acuatic
940,Acuatic
913,Acuatic
964,Acuatic
953,Acuatic
944,Acuatic
978,Acuatic
939,Acuatic
956,Acuatic
945,Acuatic
1001,Acuatic
946,Acuatic
914,Acuatic
942,Acuatic
1001,Acuatic
944,Acuatic
959,Acuatic
947,Acuatic
886,Acuatic
948,Acuatic
945,Acuatic
947,Acuatic
858,Acuatic
952,Acuatic
902,Acuatic
900,Acuatic
902,Acuatic
892,Acuatic
863,Acuatic
961,Acuatic
895,Acuatic
958,Acuatic
945,Acuatic
958,Acuatic
944,Acuatic
898,Acuatic
894,Acuatic
857,Acuatic
899,Acuatic
902,Acuatic
902,Acuatic
898,Acuatic
898,Acuatic
903,Acuatic
905,Acuatic
903,Acuatic
898,Acuatic
901,Acuatic
896,Acuatic
898,Acuatic
896,Acuatic
898,Acuatic
881,Acuatic
900,Acuatic
872,Acuatic
875,Acuatic
875,Acuatic
871,Acuatic
909,Acuatic
958,Acuatic
959,Acuatic
963,Acuatic
961,Acuatic
944,Acuatic
970,Acuatic
940,Acuatic
