RGPs,Niche
232,Human
134,Human
131,Human
134,Human
156,Human
136,Human
151,Human
177,Human
223,Human
175,Human
152,Human
161,Human
251,Human
227,Human
131,Human
164,Human
128,Human
113,Human
220,Human
169,Human
180,Human
376,Human
129,Human
131,Human
216,Human
136,Human
132,Human
168,Human
135,Human
129,Human
134,Human
168,Human
123,Human
253,Human
148,Human
128,Human
132,Human
178,Human
180,Human
135,Human
152,Human
147,Human
146,Human
157,Human
178,Human
162,Human
188,Human
175,Human
148,Human
147,Human
201,Human
130,Human
135,Human
129,Human
128,Human
149,Human
132,Human
115,Human
130,Human
146,Human
124,Human
127,Human
128,Human
114,Human
146,Human
181,Human
169,Human
146,Human
161,Human
154,Human
167,Human
113,Human
157,Human
130,Human
133,Human
134,Human
146,Human
136,Human
137,Human
131,Human
253,Human
126,Human
128,Human
147,Human
135,Human
137,Human
150,Human
141,Human
139,Human
139,Human
135,Human
131,Human
124,Human
145,Human
129,Human
138,Human
145,Human
137,Human
137,Human
172,Human
134,Human
140,Human
148,Human
151,Human
173,Human
172,Human
156,Human
161,Human
247,Human
137,Human
137,Human
152,Human
133,Human
135,Human
125,Human
141,Human
145,Human
149,Human
130,Human
145,Human
132,Human
166,Human
159,Human
139,Human
127,Human
127,Human
160,Human
127,Human
183,Human
217,Human
204,Human
141,Human
128,Human
127,Human
129,Human
133,Human
168,Human
136,Human
129,Human
132,Human
135,Human
208,Human
142,Human
146,Human
151,Human
149,Human
196,Human
194,Human
181,Human
231,Human
247,Human
219,Human
200,Human
182,Human
196,Human
169,Human
179,Human
248,Human
305,Human
129,Human
131,Human
135,Human
127,Human
144,Human
127,Human
139,Human
130,Human
165,Human
129,Human
152,Human
151,Human
153,Human
163,Human
135,Human
136,Human
137,Human
132,Human
177,Human
148,Human
172,Human
133,Human
139,Human
126,Human
127,Human
132,Human
189,Human
139,Human
135,Human
136,Human
135,Human
150,Human
148,Human
137,Human
134,Human
139,Human
132,Human
160,Human
163,Human
158,Human
131,Human
198,Human
128,Human
301,Human
244,Human
154,Human
157,Human
144,Human
166,Human
275,Human
286,Human
357,Human
133,Human
208,Human
139,Human
267,Human
146,Human
163,Human
141,Human
137,Human
140,Human
143,Human
153,Human
165,Human
133,Human
134,Human
116,Human
117,Human
118,Human
143,Human
189,Human
142,Human
135,Human
129,Human
246,Human
264,Human
138,Human
128,Human
130,Human
135,Human
133,Human
124,Human
157,Human
156,Human
134,Human
130,Human
130,Human
141,Human
147,Human
135,Human
166,Human
130,Human
134,Human
112,Human
119,Human
141,Human
131,Human
129,Human
130,Human
129,Human
157,Human
185,Human
143,Human
153,Human
149,Human
152,Human
143,Human
187,Human
159,Human
137,Human
144,Human
143,Human
144,Human
139,Human
130,Human
147,Human
159,Human
162,Human
145,Human
146,Human
152,Human
151,Human
175,Human
154,Human
151,Human
156,Human
155,Human
126,Human
127,Human
132,Human
135,Human
140,Human
146,Human
150,Human
134,Human
127,Human
131,Human
137,Human
133,Human
133,Human
127,Human
148,Human
147,Human
137,Human
134,Human
127,Human
152,Human
153,Human
154,Human
142,Human
137,Human
135,Human
133,Human
145,Human
134,Human
133,Human
145,Human
152,Human
157,Human
143,Human
154,Human
153,Human
179,Human
138,Human
140,Human
143,Human
163,Human
154,Human
178,Human
154,Human
163,Human
172,Human
166,Human
181,Human
166,Human
143,Human
170,Human
149,Human
139,Human
134,Human
138,Human
161,Human
154,Human
161,Human
163,Human
143,Human
148,Human
137,Human
155,Human
138,Human
137,Human
159,Human
207,Human
153,Human
144,Human
169,Human
210,Human
207,Human
255,Human
182,Human
