Peptidase_singalP,Category
9,Human
8,Human
13,Human
15,Human
14,Human
15,Human
14,Human
10,Human
14,Human
14,Human
12,Human
13,Human
14,Human
15,Human
13,Human
13,Human
13,Human
14,Human
15,Human
13,Human
13,Human
13,Human
13,Human
11,Human
11,Human
15,Human
15,Human
13,Human
14,Human
15,Human
13,Human
13,Human
13,Human
14,Human
14,Human
14,Human
12,Human
14,Human
13,Human
14,Human
13,Human
14,Human
12,Human
12,Human
14,Human
13,Human
13,Human
14,Human
11,Human
16,Human
11,Human
11,Human
13,Human
15,Human
13,Human
14,Human
14,Human
15,Human
13,Human
13,Human
15,Human
15,Human
14,Human
14,Human
14,Human
13,Human
15,Human
13,Human
13,Human
13,Human
12,Human
13,Human
13,Human
15,Human
14,Human
14,Human
14,Human
14,Human
12,Human
13,Human
13,Human
13,Human
13,Human
12,Human
15,Human
14,Human
16,Human
11,Human
14,Human
15,Human
15,Human
11,Human
14,Human
16,Human
13,Human
14,Human
14,Human
14,Human
15,Human
12,Human
14,Human
14,Human
12,Human
14,Human
15,Human
13,Human
14,Human
13,Human
12,Human
14,Human
14,Human
12,Human
14,Human
15,Human
14,Human
16,Human
15,Human
13,Human
16,Human
15,Human
16,Human
16,Human
15,Human
14,Human
16,Human
14,Human
14,Human
14,Human
12,Human
13,Human
14,Human
13,Human
13,Human
12,Human
16,Human
15,Human
15,Human
14,Human
14,Human
13,Human
13,Human
16,Human
15,Human
16,Human
13,Human
13,Human
12,Human
16,Human
15,Human
12,Human
11,Human
12,Human
14,Human
13,Human
12,Human
13,Human
13,Human
14,Human
12,Human
11,Human
12,Human
12,Human
12,Human
13,Human
14,Human
14,Human
13,Human
12,Human
15,Human
14,Human
14,Human
11,Human
15,Human
14,Human
14,Human
14,Human
14,Human
14,Human
16,Human
13,Human
13,Human
12,Human
13,Human
12,Human
15,Human
15,Human
13,Human
15,Human
12,Human
14,Human
11,Human
14,Human
14,Human
14,Human
14,Human
12,Human
12,Human
13,Human
