COG_category,Acuatic,Human,Mammalia,Nematoda,Plants,Soil,Wastewater,Host-Associated,No-Host-Associated,Animals
RNA processing and modification,0,0.215053763,0,0,0,0,0,0.352112676,0,0.354609929
Energy production and conversion,15.05376344,10.75268817,14.81481481,12.5,5.687203791,12.67605634,17.64705882,12.67605634,13.59223301,11.70212766
Cell cycle control / cell division / chromosome partitioning,1.075268817,1.505376344,0,0,0.947867299,0,0,0.704225352,0.485436893,0.354609929
Amino acid transport and metabolism,11.82795699,11.61290323,4.938271605,16.66666667,9.004739336,9.85915493,11.76470588,9.85915493,8.737864078,10.9929078
Nucleotide transport and metabolism,0,1.935483871,2.469135802,0,1.895734597,1.408450704,11.76470588,2.464788732,0.485436893,2.127659574
Carbohydrate transport and metabolism,7.52688172,5.806451613,2.469135802,8.333333333,20.85308057,11.97183099,11.76470588,7.394366197,11.16504854,4.609929078
Coenzyme transport and metabolism,4.301075269,5.376344086,6.172839506,8.333333333,5.687203791,4.225352113,0,5.633802817,4.368932039,5.319148936
Lipid transport and metabolism,5.376344086,3.655913978,3.703703704,0,1.421800948,2.816901408,0,2.464788732,2.912621359,3.546099291
Translation / ribosomal structure and biogenesis,3.225806452,4.086021505,7.407407407,0,2.843601896,3.521126761,5.882352941,3.169014085,3.398058252,6.028368794
Transcription,4.301075269,3.440860215,2.469135802,4.166666667,2.843601896,3.521126761,0,0.704225352,3.883495146,1.773049645
Replication / recombination and repair,2.150537634,2.150537634,1.234567901,8.333333333,4.265402844,4.929577465,5.882352941,1.056338028,4.368932039,1.063829787
Cell wall/membrane/envelope biogenesis,6.451612903,7.096774194,6.172839506,0,7.582938389,5.633802817,11.76470588,6.338028169,6.796116505,6.028368794
Cell motility,2.150537634,1.935483871,1.234567901,4.166666667,1.421800948,2.112676056,0,1.76056338,1.45631068,1.063829787
Posttranslational modification / protein turnover / chaperones,5.376344086,3.655913978,6.172839506,8.333333333,4.265402844,4.929577465,0,3.521126761,5.825242718,3.546099291
Inorganic ion transport and metabolism,13.97849462,14.62365591,14.81481481,16.66666667,9.478672986,7.042253521,5.882352941,16.1971831,9.223300971,16.66666667
Secondary metabolites biosynthesis / transport and catabolism,4.301075269,4.301075269,2.469135802,0,0.947867299,5.633802817,11.76470588,3.873239437,5.825242718,3.90070922
General function prediction only,4.301075269,5.161290323,7.407407407,4.166666667,5.213270142,5.633802817,5.882352941,7.042253521,6.310679612,5.673758865
Function unknown,2.150537634,3.225806452,4.938271605,0,3.791469194,4.225352113,0,4.225352113,3.883495146,4.255319149
Signal transduction mechanisms,2.150537634,3.440860215,6.172839506,0,4.739336493,3.521126761,0,4.929577465,1.45631068,4.609929078
Intracellular trafficking / secretion and vesicular transport,0,3.440860215,2.469135802,4.166666667,1.895734597,1.408450704,0,3.521126761,0.970873786,4.255319149
Defense mechanisms,4.301075269,1.935483871,2.469135802,4.166666667,4.265402844,4.225352113,0,1.408450704,4.368932039,2.127659574
Extracellular structures,0,0,0,0,0,0.704225352,0,0,0.485436893,0
Mobilome: prophages / transposons,0,0.64516129,0,0,0.947867299,0,0,0.704225352,0,0
