COGs,Human,Algae,Acuatic,Aves,Fish,Fungi,Mamalia,Nematoda,Plants,Reptilia,Soil,Wastewater,Others,RH,NRH,Animals
COG:COG0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG0205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG0263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG0310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG0588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG0595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG0619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG0794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG0799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG0852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG0854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG2103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG2128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG:COG2140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
