,Mammalia
Pseudomonas_aeruginosa_env100_6566,0
Pseudomonas_aeruginosa_env225_6457,0
Pseudomonas_marincola_BMP1_4959,0
Pseudomonas_prosekii_P2673_5774,0
Pseudomonas_sp._313,0
Pseudomonas_sp._TAD18,0
Pseudomonas_sp._P1.8_contigs,0
Pseudomonas_sp_K2I15_5966,0
Pseudomonas_sp_Y278_2_7345,0
Pseudomonas_sp_Y286_2_3_11346,0
Pseudomonas_sp_Y296_1_4_11553,0
Pseudomonas_frederiksbergensis_ERGS4:02_5204,0
Pseudomonas_simiae_RGCB_73,0
Pseudomonas_abietaniphila_LMG_20220,0
Pseudomonas_aeruginosa_11987-2-5_6282,0
Pseudomonas_aeruginosa_3C1A_isolate_Jpn1563_9934,0
Pseudomonas_aeruginosa_American_Cyanamid_Co._140_ATCC_7700,0
Pseudomonas_aeruginosa_assembly_GCF_0007517151_2507,0
Pseudomonas_aeruginosa_AUS110_10680,0
Pseudomonas_aeruginosa_AUS122_10663,0
Pseudomonas_aeruginosa_AUS125_10681,0
Pseudomonas_aeruginosa_AUS128_10664,0
Pseudomonas_aeruginosa_AUS136_10679,0
Pseudomonas_aeruginosa_AUS139_10660,0
Pseudomonas_aeruginosa_AUS141_10677,0
Pseudomonas_aeruginosa_AUS153_10662,0
Pseudomonas_aeruginosa_AUS155_10657,0
Pseudomonas_aeruginosa_AUS156_10661,0
Pseudomonas_aeruginosa_AUS157_10625,0
Pseudomonas_aeruginosa_AUS158_10623,0
Pseudomonas_aeruginosa_AUS174_10676,0
Pseudomonas_aeruginosa_AUS175_10675,0
Pseudomonas_aeruginosa_AUS176_10658,0
Pseudomonas_aeruginosa_AUS177_10624,0
Pseudomonas_aeruginosa_AUS178_10622,0
Pseudomonas_aeruginosa_AUS195_10302,0
Pseudomonas_aeruginosa_AUS209_10673,0
Pseudomonas_aeruginosa_AUS214_10684,0
Pseudomonas_aeruginosa_AUS217_10245,0
Pseudomonas_aeruginosa_AUS221_10674,0
Pseudomonas_aeruginosa_AUS222_10672,0
Pseudomonas_aeruginosa_AUS226_10670,0
Pseudomonas_aeruginosa_AUS227_10669,0
Pseudomonas_aeruginosa_AUS258_10671,0
Pseudomonas_aeruginosa_AUS265_10678,0
Pseudomonas_aeruginosa_AUS277_10665,0
Pseudomonas_aeruginosa_AUS306_10288,0
Pseudomonas_aeruginosa_AUS311_10659,0
Pseudomonas_aeruginosa_AUS321_10291,0
Pseudomonas_aeruginosa_AUS328_10237,0
Pseudomonas_aeruginosa_AUS339_10233,0
Pseudomonas_aeruginosa_AUS343_10295,0
Pseudomonas_aeruginosa_AUS355_10228,0
Pseudomonas_aeruginosa_AUS438_10249,0
Pseudomonas_aeruginosa_AUS449_10614,0
Pseudomonas_aeruginosa_AUS452_10668,0
Pseudomonas_aeruginosa_AUS464_10621,0
Pseudomonas_aeruginosa_AUS465_10243,0
Pseudomonas_aeruginosa_AUS500_10656,0
Pseudomonas_aeruginosa_AUS501_10619,0
Pseudomonas_aeruginosa_AUS502_10246,0
Pseudomonas_aeruginosa_AUS503_10225,0
Pseudomonas_aeruginosa_AUS504_10231,0
Pseudomonas_aeruginosa_AUS505_10620,0
Pseudomonas_aeruginosa_AUS506_10282,0
Pseudomonas_aeruginosa_AUS507_10206,0
Pseudomonas_aeruginosa_AUS510_10618,0
Pseudomonas_aeruginosa_AUS511_10617,0
Pseudomonas_aeruginosa_AUS512_10616,0
Pseudomonas_aeruginosa_Cotonu1_10100,0
Pseudomonas_aeruginosa_E1-WATER-2_9958,0
Pseudomonas_aeruginosa_E42A_B_isolate_LMG14084_9935,0
Pseudomonas_aeruginosa_Env_47_6425,0
Pseudomonas_aeruginosa_Env_58_6984,0
Pseudomonas_aeruginosa_Env_62_6520,0
Pseudomonas_aeruginosa_env005_6048,0
Pseudomonas_aeruginosa_env043_7181,0
Pseudomonas_aeruginosa_env045_6720,0
Pseudomonas_aeruginosa_env050_5820,0
Pseudomonas_aeruginosa_env051b_6663,0
Pseudomonas_aeruginosa_env054_7276,0
Pseudomonas_aeruginosa_env065a_6545,0
Pseudomonas_aeruginosa_env065b_6753,0
Pseudomonas_aeruginosa_env068_6235,0
Pseudomonas_aeruginosa_env079_6580,0
Pseudomonas_aeruginosa_env084_6510,0
Pseudomonas_aeruginosa_env091_7005,0
Pseudomonas_aeruginosa_env092a_6344,0
Pseudomonas_aeruginosa_env092b_7158,0
Pseudomonas_aeruginosa_env097_6693,0
Pseudomonas_aeruginosa_env099_6951,0
Pseudomonas_aeruginosa_env101_6678,0
Pseudomonas_aeruginosa_env102_6357,0
Pseudomonas_aeruginosa_env107_6055,0
Pseudomonas_aeruginosa_env108_7109,0
Pseudomonas_aeruginosa_env109b_7167,0
Pseudomonas_aeruginosa_env110a_6704,0
Pseudomonas_aeruginosa_env110b_6001,0
Pseudomonas_aeruginosa_env113a_6335,0
Pseudomonas_aeruginosa_env113b_6331,0
Pseudomonas_aeruginosa_env126_5936,0
Pseudomonas_aeruginosa_env133_7212,0
Pseudomonas_aeruginosa_env135_6101,0
Pseudomonas_aeruginosa_env137a_6266,0
Pseudomonas_aeruginosa_env138_6871,0
Pseudomonas_aeruginosa_env139_6827,0
Pseudomonas_aeruginosa_env140_6307,0
Pseudomonas_aeruginosa_env142_6523,0
Pseudomonas_aeruginosa_env158_7050,0
Pseudomonas_aeruginosa_env159a_6735,0
Pseudomonas_aeruginosa_env159b_5846,0
Pseudomonas_aeruginosa_env165_6320,0
Pseudomonas_aeruginosa_env169_7278,0
Pseudomonas_aeruginosa_env172_6388,0
Pseudomonas_aeruginosa_env179_5964,0
Pseudomonas_aeruginosa_env187_6439,0
Pseudomonas_aeruginosa_env189_7152,0
Pseudomonas_aeruginosa_env193_6004,0
Pseudomonas_aeruginosa_env201_6571,0
Pseudomonas_aeruginosa_env207_6940,0
Pseudomonas_aeruginosa_env224_7023,0
Pseudomonas_aeruginosa_env241a_6636,0
Pseudomonas_aeruginosa_env241b_6009,0
Pseudomonas_aeruginosa_env299_7038,0
Pseudomonas_aeruginosa_env331b_6628,0
Pseudomonas_aeruginosa_env334_7163,0
Pseudomonas_aeruginosa_env345_6600,0
Pseudomonas_aeruginosa_G1-WATER-2A_9985,0
Pseudomonas_aeruginosa_Jp100_10605,0
Pseudomonas_aeruginosa_Jp1140_10158,0
Pseudomonas_aeruginosa_Jp1155_10601,0
Pseudomonas_aeruginosa_Jp1170_10644,0
Pseudomonas_aeruginosa_Jp1200_10602,0
Pseudomonas_aeruginosa_Jp1206_10643,0
Pseudomonas_aeruginosa_Jp1303_10642,0
Pseudomonas_aeruginosa_Jp222_10603,0
Pseudomonas_aeruginosa_Jp224_10159,0
Pseudomonas_aeruginosa_Jp238_10604,0
Pseudomonas_aeruginosa_Jp241_10645,0
Pseudomonas_aeruginosa_Jp54_10116,0
Pseudomonas_aeruginosa_Jp60_10646,0
Pseudomonas_aeruginosa_Jp97_10163,0
Pseudomonas_aeruginosa_JYH10_10051,0
Pseudomonas_aeruginosa_JYH11_10629,0
Pseudomonas_aeruginosa_JYH12_10002,0
Pseudomonas_aeruginosa_JYH13_10630,0
Pseudomonas_aeruginosa_JYH15_10586,0
Pseudomonas_aeruginosa_JYH16_10007,0
Pseudomonas_aeruginosa_JYH17_10628,0
Pseudomonas_aeruginosa_JYH18_10008,0
Pseudomonas_aeruginosa_JYH19_10585,0
Pseudomonas_aeruginosa_JYH21_10627,0
Pseudomonas_aeruginosa_JYH22_9979,0
Pseudomonas_aeruginosa_JYH23_10582,0
Pseudomonas_aeruginosa_JYH24_10009,0
Pseudomonas_aeruginosa_JYH25_10584,0
Pseudomonas_aeruginosa_JYH26_9996,0
Pseudomonas_aeruginosa_JYH28_9978,0
Pseudomonas_aeruginosa_JYH29_10583,0
Pseudomonas_aeruginosa_JYH6_10004,0
Pseudomonas_aeruginosa_JYH7_10589,0
Pseudomonas_aeruginosa_JYH8_10055,0
Pseudomonas_aeruginosa_JYH9_10587,0
Pseudomonas_aeruginosa_LMG2107_10106,0
Pseudomonas_aeruginosa_M53_10726,0
Pseudomonas_aeruginosa_M54_10720,0
Pseudomonas_aeruginosa_M55_10719,0
Pseudomonas_aeruginosa_M56_10718,0
Pseudomonas_aeruginosa_M57_10717,0
Pseudomonas_aeruginosa_M58_10716,0
Pseudomonas_aeruginosa_M59_10714,0
Pseudomonas_aeruginosa_M60_10725,0
Pseudomonas_aeruginosa_M61_10715,0
Pseudomonas_aeruginosa_M62_10724,0
Pseudomonas_aeruginosa_M63_10711,0
Pseudomonas_aeruginosa_M64_10723,0
Pseudomonas_aeruginosa_M65_10722,0
Pseudomonas_aeruginosa_M66_10712,0
Pseudomonas_aeruginosa_M67_10713,0
Pseudomonas_aeruginosa_M7,0
Pseudomonas_aeruginosa_M8A.1,0
Pseudomonas_aeruginosa_M8A.2,0
Pseudomonas_aeruginosa_M8A.3,0
Pseudomonas_aeruginosa_Mex2_10130,0
Pseudomonas_aeruginosa_Ocean-100_5904,0
Pseudomonas_aeruginosa_Ocean-1155_5897,0
Pseudomonas_aeruginosa_Ocean-1170_6005,0
Pseudomonas_aeruginosa_Ocean-1175_6075,0
Pseudomonas_aeruginosa_Ocean-1187_6137,0
Pseudomonas_aeruginosa_Ocean-1206_6130,0
Pseudomonas_aeruginosa_Ocean-222_6755,0
Pseudomonas_aeruginosa_Ocean-238_7079,0
Pseudomonas_aeruginosa_PA151_7211,0
Pseudomonas_aeruginosa_PA19_6849,0
Pseudomonas_aeruginosa_Pae110_6843,0
Pseudomonas_aeruginosa_Pae113_5830,0
Pseudomonas_aeruginosa_Pae160_7099,0
Pseudomonas_aeruginosa_PAO1H2O,0
Pseudomonas_aeruginosa_PS00100_9943,0
Pseudomonas_aeruginosa_Ps04_5778,0
Pseudomonas_aeruginosa_PT12_10547,0
Pseudomonas_aeruginosa_PT31M_10099,0
Pseudomonas_aeruginosa_PT6_10577,0
Pseudomonas_aeruginosa_SJU-R10_1_6384,0
Pseudomonas_aeruginosa_SJU-R10_2_7044,0
Pseudomonas_aeruginosa_SJU-R10_3_7318,0
Pseudomonas_aeruginosa_SJU-R8_2_7126,0
Pseudomonas_aeruginosa_SJU-R8_3_6045,0
Pseudomonas_aeruginosa_SJU-W20_1_6598,0
Pseudomonas_aeruginosa_SJU-W20_2_6177,0
Pseudomonas_aeruginosa_SJU-W20_3_6786,0
Pseudomonas_aeruginosa_SJU-W4_1_7030,0
Pseudomonas_aeruginosa_SJU-W4_2_6535,0
Pseudomonas_aeruginosa_SJU-W4_3_5834,0
Pseudomonas_aeruginosa_SWPA15J_NSWPA15a_10128,0
Pseudomonas_aeruginosa_Tu61_10122,0
Pseudomonas_aeruginosa_U1i_6349,0
Pseudomonas_aeruginosa_U1j-3_6311,0
Pseudomonas_aeruginosa_U5a-2_5775,0
Pseudomonas_aeruginosa_U5b-2_6379,0
Pseudomonas_aeruginosa_W13a-2_6703,0
Pseudomonas_aeruginosa_W15Apr4_10600,0
Pseudomonas_aeruginosa_W15Aug23_10641,0
Pseudomonas_aeruginosa_W15Dec14_10599,0
Pseudomonas_aeruginosa_W15Dec4_10596,0
Pseudomonas_aeruginosa_W15Okt31_10639,0
Pseudomonas_aeruginosa_W1c_6097,0
Pseudomonas_aeruginosa_W1d_6994,0
Pseudomonas_aeruginosa_W1g_7129,0
Pseudomonas_aeruginosa_W1j_7113,0
Pseudomonas_aeruginosa_W21b-2_7036,0
Pseudomonas_aeruginosa_W5a-2_6644,0
Pseudomonas_aeruginosa_W5Aug16_10110,0
Pseudomonas_aeruginosa_W5Aug28_10598,0
Pseudomonas_aeruginosa_WC55,0
Pseudomonas_aeruginosa_WH-SGI-V-07166_3350,0
Pseudomonas_aeruginosa_WH-SGI-V-07284_3577,0
Pseudomonas_aeruginosa_WH-SGI-V-07286_3578,0
Pseudomonas_aeruginosa_WH-SGI-V-07297_3585,0
Pseudomonas_aeruginosa_WH-SGI-V-07305_3609,0
Pseudomonas_aeruginosa_WH-SGI-V-07314_3592,0
Pseudomonas_alcaligenes_NBRC_14159,0
Pseudomonas_alcaligenes_NCTC10367_6093,0
Pseudomonas_alcaligenes_NEB_585,0
Pseudomonas_alcaliphila_ED1_4016,0
Pseudomonas_alcaliphila_JCM_10630,0
Pseudomonas_alcaliphila_NBRC_102411,0
Pseudomonas_balearica_LS401,0
Pseudomonas_cedrina_subsp_cedrina_isolate_DSM_17516T_11332,0
Pseudomonas_chlororaphis_14B11_7523,0
Pseudomonas_chlororaphis_14D6_7521,0
Pseudomonas_chlororaphis_aureofaciens_LMG_1245,0
Pseudomonas_chlororaphis_aureofaciens_NBRC_3521,0
Pseudomonas_chlororaphis_LMG_1245_5384,0
Pseudomonas_chlororaphis_subsp_aureofaciens_DSM_6698_7553,0
Pseudomonas_cremoricolorata_ND07,0
Pseudomonas_deceptionensis_DSM_26521,0
Pseudomonas_donghuensis_HYS,0
Pseudomonas_extremaustralis_14-3_sub14-3b,0
Pseudomonas_extremaustralis_DSM_17835,0
Pseudomonas_flexibilis_ATCC_29606_4029,0
Pseudomonas_fluorescens_2F9_9410,0
Pseudomonas_fluorescens_BZ64,0
Pseudomonas_fluorescens_DSM_50090,0
Pseudomonas_fluorescens_FH5,0
Pseudomonas_fluorescens_FW300-N2A2,0
Pseudomonas_fluorescens_FW300-N2C3,0
Pseudomonas_fluorescens_FW300-N2E2,0
Pseudomonas_fluorescens_FW300-N2E3,0
Pseudomonas_fluorescens_GW456-L13,0
Pseudomonas_fluorescens_NCIMB_11764,0
Pseudomonas_fluorescens_NCTC10038_6712,0
Pseudomonas_fluorescens_S613,0
Pseudomonas_fluorescens_UK4,0
Pseudomonas_fluvialis_ASS-1,0
Pseudomonas_gessardii_DSM_17152_5450,0
Pseudomonas_grimontii_DSM_17515,0
Pseudomonas_mandelii_6A1_6651,0
Pseudomonas_mandelii_JR-1,0
Pseudomonas_mandelii_NBRC_103147,0
Pseudomonas_mendocina_B1D3C,0
Pseudomonas_mendocina_B1D7D,0
Pseudomonas_mendocina_B2U3D,0
Pseudomonas_mendocina_EGD-AQ5,0
Pseudomonas_mendocina_MAE1-K,0
Pseudomonas_mendocina_NCTC10898_6494,0
Pseudomonas_mendocina_NCTC10899_6230,0
Pseudomonas_nitroreducens_TX1,0
Pseudomonas_orientalis_DSM_17489,0
Pseudomonas_pohangensis_DSM_17875,0
Pseudomonas_protegens_12H11_11367,0
Pseudomonas_protegens_14B2_11376,0
Pseudomonas_protegens_15G2_11368,0
Pseudomonas_protegens_15H3_11369,0
Pseudomonas_protegens_1B1_11371,0
Pseudomonas_protegens_1C5_11372,0
Pseudomonas_protegens_GW456-12-1-14-LB1_7086,0
Pseudomonas_pseudoalcaligenes_B9D3A,0
Pseudomonas_pseudoalcaligenes_B9D3B,0
Pseudomonas_pseudoalcaligenes_B9D3C,0
Pseudomonas_psychrophila_CF149,0
Pseudomonas_psychrotolerans_LMG_21977,0
Pseudomonas_putida_KCJK7911_6611,0
Pseudomonas_putida_KCJK7916_6479,0
Pseudomonas_putida_KH-18-2_6278,0
Pseudomonas_putida_KH-20-11_6377,0
Pseudomonas_putida_KH-21-114_5825,0
Pseudomonas_putida_KH-21-134_6690,0
Pseudomonas_putida_KT-27_5803,0
Pseudomonas_putida_KT-90_6458,0
Pseudomonas_putida_Simmons,0
Pseudomonas_putida_W15Oct28_3011,0
Pseudomonas_reinekei_DSM_18361,0
Pseudomonas_sihuiensis_B10D7C,0
Pseudomonas_sp_06C_126_5633,0
Pseudomonas_sp_1D4_1D4_4068,0
Pseudomonas_sp_21C1_21C1_4070,0
Pseudomonas_sp_AP19_AP19_4091,0
Pseudomonas_sp_AP42_AP42_4092,0
Pseudomonas_sp_BBP2017_6291,0
Pseudomonas_sp_CF149_452,0
Pseudomonas_sp_DP16D-R1_5882,0
Pseudomonas_sp_ENNP23_ENNP23_4103,0
Pseudomonas_sp_F51_6312,0
Pseudomonas_sp_FH1_2461,0
Pseudomonas_sp_FH4_2462,0
Pseudomonas_sp_FW104-15G4B_5891,0
Pseudomonas_sp_FW300-N1A1_6276,0
Pseudomonas_sp_FW305-E2_5909,0
Pseudomonas_sp_FW507-12TSA_6896,0
Pseudomonas_sp_GW456-12-10-14-LB1_7335,0
Pseudomonas_sp_GW456-12-10-14-LB3_6247,0
Pseudomonas_sp_GW456-R21_7249,0
Pseudomonas_sp_GW460-R15_7185,0
Pseudomonas_sp_GW531-R1_6040,0
Pseudomonas_sp_GW531-T4_6608,0
Pseudomonas_sp_HAR-UPW-AIA-41_6294,0
Pseudomonas_sp_HYS_269,0
Pseudomonas_sp_K2W31S-8_7845,0
Pseudomonas_sp_ML96_3054,0
Pseudomonas_sp_MPBD7-1_6482,0
Pseudomonas_sp_MPR-ANC1_6645,0
Pseudomonas_sp_MR_02_7043,0
Pseudomonas_sp_NDM_7514,0
Pseudomonas_sp_R937_6239,0
Pseudomonas_sp_RW407_5933,0
Pseudomonas_sp_RW409_5941,0
Pseudomonas_sp_RW410_6517,0
Pseudomonas_sp_SDI_7573,0
Pseudomonas_sp_SXM-1_7402,0
Pseudomonas_sp_TBZ2_7574,0
Pseudomonas_sp_TKO14_7128,0
Pseudomonas_sp_TKO26_7074,0
Pseudomonas_sp_TKO29_6430,0
Pseudomonas_sp_TMW_21634_7382,0
Pseudomonas_sp_W15Feb9B_3063,0
Pseudomonas_sp_WP001_11389,0
Pseudomonas_sp._B11D7A,0
Pseudomonas_sp._B11D7D,0
Pseudomonas_sp._B1D7C,0
Pseudomonas_sp._CBZ-4,0
Pseudomonas_sp._CC6-YY-74,0
Pseudomonas_sp._CF150,0
Pseudomonas_sp._CF161,0
Pseudomonas_sp._CFII64,0
Pseudomonas_sp._CFII68,0
Pseudomonas_sp._CFT9,0
Pseudomonas_sp._DP16D-E2,0
Pseudomonas_sp._DP16D-L5,0
Pseudomonas_sp._FW104-R4,0
Pseudomonas_sp._FW126-L8,0
Pseudomonas_sp._FW215-E1,0
Pseudomonas_sp._FW215-L1,0
Pseudomonas_sp._FW215-L2,0
Pseudomonas_sp._FW215-R2,0
Pseudomonas_sp._FW215-R3,0
Pseudomonas_sp._FW215-R4,0
Pseudomonas_sp._FW215-T2,0
Pseudomonas_sp._FW300-E2,0
Pseudomonas_sp._FW300-N1A5,0
Pseudomonas_sp._FW301-21B01,0
Pseudomonas_sp._FW303-C2,0
Pseudomonas_sp._FW305-122,0
Pseudomonas_sp._FW305-124,0
Pseudomonas_sp._FW305-127,0
Pseudomonas_sp._FW305-130,0
Pseudomonas_sp._FW305-131,0
Pseudomonas_sp._FW305-17,0
Pseudomonas_sp._FW305-20,0
Pseudomonas_sp._FW305-25,0
Pseudomonas_sp._FW305-3-2-15-A-R2A1,0
Pseudomonas_sp._FW305-42,0
Pseudomonas_sp._FW305-47B,0
Pseudomonas_sp._FW305-53,0
Pseudomonas_sp._FW305-62,0
Pseudomonas_sp._FW305-67,0
Pseudomonas_sp._FW305-BF15,0
Pseudomonas_sp._FW305-BF6,0
Pseudomonas_sp._FW305-BF8,0
Pseudomonas_sp._FW306-02-F02-AA,0
Pseudomonas_sp._FW306-02-F02-AB,0
Pseudomonas_sp._FW306-02-F04-AA,0
Pseudomonas_sp._FW306-02-F04-BA,0
Pseudomonas_sp._FW306-02-F08-AA,0
Pseudomonas_sp._FW306-02-H05-AA,0
Pseudomonas_sp._FW306-02-H05-AB,0
Pseudomonas_sp._FW306-02-H05-BA,0
Pseudomonas_sp._FW306-02-H06B,0
Pseudomonas_sp._FW306-02-H06C,0
Pseudomonas_sp._FW306-07-L,0
Pseudomonas_sp._FW306-1C-G01A,0
Pseudomonas_sp._FW306-2-11AA,0
Pseudomonas_sp._FW306-2-11AB,0
Pseudomonas_sp._FW306-2-11AC,0
Pseudomonas_sp._FW306-2-11AD,0
Pseudomonas_sp._FW306-2-11BA,0
Pseudomonas_sp._FW306-2-1A-C05A,0
Pseudomonas_sp._FW306-2-2C-A10BC,0
Pseudomonas_sp._FW306-2-2C-B10A,0
Pseudomonas_sp._FW306-2-2C-D06B,0
Pseudomonas_sp._FW306-2-2C-D06C,0
Pseudomonas_sp._FW507-14D01,0
Pseudomonas_sp._FW507-29LB,0
Pseudomonas_sp._FW507-F1,0
Pseudomonas_sp._FW507-F4,0
Pseudomonas_sp._GP01-A1,0
Pseudomonas_sp._GP01-A11,0
Pseudomonas_sp._GP01-A13,0
Pseudomonas_sp._GP01-A14,0
Pseudomonas_sp._GP01-A15,0
Pseudomonas_sp._GP01-A3,0
Pseudomonas_sp._GP01-A4,0
Pseudomonas_sp._GP01-A5,0
Pseudomonas_sp._GP01-A6,0
Pseudomonas_sp._GP01-A8,0
Pseudomonas_sp._GP01-A9,0
Pseudomonas_sp._GW101-1A09,0
Pseudomonas_sp._GW101-20A5,0
Pseudomonas_sp._GW101-3F01,0
Pseudomonas_sp._GW123-5C08,0
Pseudomonas_sp._GW123-5D08,0
Pseudomonas_sp._GW247-3R2A,0
Pseudomonas_sp._GW247-5R2A,0
Pseudomonas_sp._GW456-11-11-14-LB1,0
Pseudomonas_sp._GW456-11-11-14-LB2,0
Pseudomonas_sp._GW456-11-11-14-LB4,0
Pseudomonas_sp._GW456-12-1-14-LB2,0
Pseudomonas_sp._GW456-12-1-14-LB3,0
Pseudomonas_sp._GW456-12-10-14-LB2,0
Pseudomonas_sp._GW456-A1B,0
Pseudomonas_sp._GW456-A2,0
Pseudomonas_sp._GW456-E6,0
Pseudomonas_sp._GW456-E7,0
Pseudomonas_sp._GW456-L12,0
Pseudomonas_sp._GW456-L14,0
Pseudomonas_sp._GW460-11-11-14-LB11,0
Pseudomonas_sp._GW460-12,0
Pseudomonas_sp._GW460-12-1-14-LB3,0
Pseudomonas_sp._GW460-13,0
Pseudomonas_sp._GW460-4,0
Pseudomonas_sp._GW460-5,0
Pseudomonas_sp._GW460-7,0
Pseudomonas_sp._GW460-8,0
Pseudomonas_sp._GW460-C2,0
Pseudomonas_sp._GW460-C3,0
Pseudomonas_sp._GW460-C8,0
Pseudomonas_sp._GW460-E13,0
Pseudomonas_sp._GW460-LB6,0
Pseudomonas_sp._GW531-E2,0
Pseudomonas_sp._GW704-F2,0
Pseudomonas_sp._GW704-F3,0
Pseudomonas_sp._GW704-F5,0
Pseudomonas_sp._HCN1,0
Pseudomonas_sp._IB20,0
Pseudomonas_sp._KK4,0
Pseudomonas_sp._LE5C2,0
Pseudomonas_sp._LE5C9,0
Pseudomonas_sp._LE5F10,0
Pseudomonas_sp._LE6C6,0
Pseudomonas_sp._LE6C9,0
Pseudomonas_sp._LG1D9,0
Pseudomonas_sp._LG1E9,0
Pseudomonas_sp._LH1G9,0
