CAZy_Signal_peptide,Niche
24,Host_Associated
26,Host_Associated
31,Host_Associated
26,Host_Associated
31,Host_Associated
13,Host_Associated
20,Host_Associated
18,Host_Associated
18,Host_Associated
13,Host_Associated
23,Host_Associated
28,Host_Associated
26,Host_Associated
14,Host_Associated
20,Host_Associated
19,Host_Associated
22,Host_Associated
22,Host_Associated
22,Host_Associated
22,Host_Associated
22,Host_Associated
17,Host_Associated
19,Host_Associated
21,Host_Associated
32,Host_Associated
27,Host_Associated
27,Host_Associated
26,Host_Associated
34,Host_Associated
29,Host_Associated
30,Host_Associated
31,Host_Associated
32,Host_Associated
34,Host_Associated
30,Host_Associated
29,Host_Associated
26,Host_Associated
29,Host_Associated
28,Host_Associated
33,Host_Associated
29,Host_Associated
29,Host_Associated
31,Host_Associated
30,Host_Associated
28,Host_Associated
28,Host_Associated
28,Host_Associated
29,Host_Associated
30,Host_Associated
29,Host_Associated
29,Host_Associated
30,Host_Associated
29,Host_Associated
29,Host_Associated
25,Host_Associated
30,Host_Associated
29,Host_Associated
32,Host_Associated
28,Host_Associated
32,Host_Associated
32,Host_Associated
33,Host_Associated
31,Host_Associated
26,Host_Associated
26,Host_Associated
29,Host_Associated
28,Host_Associated
29,Host_Associated
27,Host_Associated
26,Host_Associated
30,Host_Associated
28,Host_Associated
28,Host_Associated
28,Host_Associated
26,Host_Associated
28,Host_Associated
29,Host_Associated
28,Host_Associated
28,Host_Associated
28,Host_Associated
28,Host_Associated
30,Host_Associated
29,Host_Associated
32,Host_Associated
29,Host_Associated
29,Host_Associated
27,Host_Associated
30,Host_Associated
28,Host_Associated
34,Host_Associated
30,Host_Associated
28,Host_Associated
32,Host_Associated
34,Host_Associated
34,Host_Associated
33,Host_Associated
29,Host_Associated
29,Host_Associated
30,Host_Associated
27,Host_Associated
28,Host_Associated
31,Host_Associated
31,Host_Associated
30,Host_Associated
32,Host_Associated
28,Host_Associated
28,Host_Associated
32,Host_Associated
30,Host_Associated
30,Host_Associated
30,Host_Associated
29,Host_Associated
29,Host_Associated
28,Host_Associated
28,Host_Associated
28,Host_Associated
30,Host_Associated
31,Host_Associated
29,Host_Associated
29,Host_Associated
28,Host_Associated
28,Host_Associated
28,Host_Associated
29,Host_Associated
29,Host_Associated
28,Host_Associated
28,Host_Associated
28,Host_Associated
31,Host_Associated
31,Host_Associated
30,Host_Associated
30,Host_Associated
32,Host_Associated
28,Host_Associated
30,Host_Associated
30,Host_Associated
28,Host_Associated
29,Host_Associated
28,Host_Associated
33,Host_Associated
30,Host_Associated
32,Host_Associated
30,Host_Associated
31,Host_Associated
27,Host_Associated
33,Host_Associated
32,Host_Associated
30,Host_Associated
30,Host_Associated
29,Host_Associated
