genomes,Total_COGs
Pseudomonas_aeruginosa_NA04_7242,1460
Pseudomonas_brenneri_BIGb0273,1379
Pseudomonas_fluorescens_GcM5-1A,1383
Pseudomonas_fluorescens_MYb12_7274,1380
Pseudomonas_fluorescens_MYb17_7240,1381
Pseudomonas_fluorescens_MYb22_6111,1380
Pseudomonas_helmanticensis_BIGb0525,1400
Pseudomonas_lurida_MYb11,1387
Pseudomonas_lurida_MYb16,1379
Pseudomonas_lurida_MYb1,1379
Pseudomonas_mendocina_2.2,1342
Pseudomonas_poae_MYb114,1391
Pseudomonas_poae_MYb117,1391
Pseudomonas_protegens_BIGb0404,1418
Pseudomonas_protegens_JUb28,1419
Pseudomonas_psychrophila_BIGb0477,1344
Pseudomonas_putida_B2017,1379
Pseudomonas_putida_BIGb0473,1342
Pseudomonas_putida_JUb85,1376
Pseudomonas_sp._JUb52,1340
Pseudomonas_sp._M47T1,1380
Pseudomonas_sp._MYb115,1387
Pseudomonas_sp._MYb13,1381
Pseudomonas_sp._MYb187,1336
Pseudomonas_sp._MYb193,1390
Pseudomonas_sp._MYb2,1400
Pseudomonas_sp._MYb3,1397
Pseudomonas_sp._MYb60,1327
Pseudomonas_trivialis_MYb75,1328
