genomes,Total_COGs
Pseudomonas_aeruginosa_CR1_7655,1456
Pseudomonas_aeruginosa_DR1_2575,1420
Pseudomonas_aeruginosa_E2_285,1462
Pseudomonas_aeruginosa_E2_660,1461
Pseudomonas_aeruginosa_E2,1457
Pseudomonas_aeruginosa_env103_7282,1459
Pseudomonas_aeruginosa_env104_6875,1458
Pseudomonas_aeruginosa_Env_11_6793,1470
Pseudomonas_aeruginosa_Env_12_6238,1463
Pseudomonas_aeruginosa_Env_14_6756,1452
Pseudomonas_aeruginosa_Env_16_7060,1429
Pseudomonas_aeruginosa_Env_1_6932,1461
Pseudomonas_aeruginosa_Env_32_6626,1460
Pseudomonas_aeruginosa_L10_6318,1460
Pseudomonas_aeruginosa_LV_6231,1459
Pseudomonas_aeruginosa_m183_6493,1444
Pseudomonas_aeruginosa_M18,1462
Pseudomonas_aeruginosa_NFHH01,1462
Pseudomonas_aeruginosa_P27b_7290,1461
Pseudomonas_aeruginosa_PGPR2,1516
Pseudomonas_aeruginosa_WH-SGI-V-07287_3607,1465
Pseudomonas_amygdali_5270_7275,1373
Pseudomonas_amygdali_7968A_6794,1383
Pseudomonas_amygdali_814_98_6370,1371
Pseudomonas_amygdali_ICMP3918_3649,1356
Pseudomonas_amygdali_NM002_5127,1361
Pseudomonas_amygdali_pv_aesculi_2250_375,1368
Pseudomonas_amygdali_pv._aesculi_2306,1374
Pseudomonas_amygdali_pv._aesculi_2315,1372
Pseudomonas_amygdali_pv._aesculi_2329,1374
Pseudomonas_amygdali_pv._aesculi_2336,1380
Pseudomonas_amygdali_pv_aesculi_NCPPB_3681_486,1356
Pseudomonas_amygdali_pv_ciccaronei_ICMP5710_3654,1370
Pseudomonas_amygdali_pv_dendropanacis_CFBP_3226_2905,1367
Pseudomonas_amygdali_pv_dendropanacis_ICMP9150_3652,1372
Pseudomonas_amygdali_pv._eriobotryae_CFBP_2343,1378
Pseudomonas_amygdali_pv_hibisci_ICMP9623_3650,1360
Pseudomonas_amygdali_pv_mellea_ICMP5711_3655,1360
Pseudomonas_amygdali_pv._morsprunorum_2341,1373
Pseudomonas_amygdali_pv._morsprunorum_HRI-W_5261,1379
Pseudomonas_amygdali_pv._morsprunorum_HRI-W_5269,1373
Pseudomonas_amygdali_pv._myricae_CFBP_2897,1379
Pseudomonas_amygdali_pv_myricae_ICMP7118_3653,1366
Pseudomonas_amygdali_pv_photiniae_ICMP7840_3651,1369
Pseudomonas_amygdali_pv_tabaci_ATCC_11528_2907,1373
Pseudomonas_amygdali_pv_tabaci_ICMP2835_3656,1374
Pseudomonas_amygdali_pv._ulmi_CFBP_1407,1371
Pseudomonas_amygdali_pv_ulmi_ICMP3962_3657,1368
Pseudomonas_amygdali_R15244_5851,1385
Pseudomonas_amygdali_R19326_7321,1377
Pseudomonas_amygdali_R19629_6891,1377
Pseudomonas_amygdali_R19646_6396,1369
Pseudomonas_amygdali_R19657_6468,1376
Pseudomonas_argentinensis_SA190_5658,1335
Pseudomonas_asplenii_4A7_6887,1409
Pseudomonas_avellanae_BPIC_631,1319
Pseudomonas_avellanae_CRAFRUec1,1348
Pseudomonas_avellanae_R25255,1377
Pseudomonas_avellanae_R25260,1380
Pseudomonas_avellanae_R29095,1381
Pseudomonas_avellanae_R2leaf,1391
Pseudomonas_avellanae_R2sc214,1378
Pseudomonas_azotoformans_DSM_18862_5651,1428
Pseudomonas_azotoformans_LMG_21611_5216,1431
Pseudomonas_azotoformans_SC_14_9376,1389
Pseudomonas_baetica_a390_6594,1401
Pseudomonas_balearica_st101,1289
Pseudomonas_brassicacearum_CDVBN10,1377
Pseudomonas_brassicacearum_L13-6-12,1388
Pseudomonas_brassicacearum_subsp_brassicacearum_NFM421_158,1397
Pseudomonas_brassicacearum_TM1A3,1391
Pseudomonas_cannabina_ICMP2823_3659,1352
Pseudomonas_cannabina_pv._alisalensis_PSa1-3,1474
Pseudomonas_caricapapayae_ICMP2855_3660,1365
Pseudomonas_caspiana_FBF102,1355
Pseudomonas_cerasi_58T,1365
Pseudomonas_cerasi_isolate_Sour_cherry_Prunus_cerasus_symptoma_4022,1364
Pseudomonas_chlororaphis_ATCC_9446_6491,1418
Pseudomonas_chlororaphis_aurantiaca_PB-St2,1404
Pseudomonas_chlororaphis_aureofaciens_30-84,1414
Pseudomonas_chlororaphis_B25_7556,1424
Pseudomonas_chlororaphis_chlororaphis_GP72,1431
Pseudomonas_chlororaphis_HT66,1447
Pseudomonas_chlororaphis_Pb-St2_7549,1413
Pseudomonas_chlororaphis_StFRB508_6952,1420
Pseudomonas_chlororaphis_subsp_aurantiaca_449_7539,1426
Pseudomonas_chlororaphis_subsp_aurantiaca_464_7550,1425
Pseudomonas_chlororaphis_subsp_aurantiaca_CW2_7540,1417
Pseudomonas_chlororaphis_subsp_aurantiaca_M12_7538,1420
Pseudomonas_chlororaphis_subsp_aurantiaca_M71_7541,1430
