genomes,Total_COGs
Pseudomonas_aeruginosa_1-7-2A_ATCC_21472,1461
Pseudomonas_aeruginosa_18G_11014,1461
Pseudomonas_aeruginosa_19R_10978,1459
Pseudomonas_aeruginosa_19SJO_11095,1464
Pseudomonas_aeruginosa_19SJV_11013,1466
Pseudomonas_aeruginosa_19SV_10966,1460
Pseudomonas_aeruginosa_32SB_10977,1461
Pseudomonas_aeruginosa_32SP_10979,1462
Pseudomonas_aeruginosa_34JS_10965,1460
Pseudomonas_aeruginosa_57RV_10964,1462
Pseudomonas_aeruginosa_57SJ_10976,1464
Pseudomonas_aeruginosa_78RV_10963,1461
Pseudomonas_aeruginosa_AJ_D_2,1452
Pseudomonas_aeruginosa_ATCC_14886,1464
Pseudomonas_aeruginosa_DN1_7646,1462
Pseudomonas_aeruginosa_DQ8,1477
Pseudomonas_aeruginosa_E2UoS_2486,1453
Pseudomonas_aeruginosa_EGD-AQ8_7184,1452
Pseudomonas_aeruginosa_env006b_6898,1457
Pseudomonas_aeruginosa_env105_6115,1453
Pseudomonas_aeruginosa_env199_6734,1458
Pseudomonas_aeruginosa_env202_7053,1452
Pseudomonas_aeruginosa_env203_6073,1460
Pseudomonas_aeruginosa_env204_5860,1460
Pseudomonas_aeruginosa_env210_6428,1458
Pseudomonas_aeruginosa_Hex1T,1456
Pseudomonas_aeruginosa_JB2_7002,1464
Pseudomonas_aeruginosa_M9A.1,1459
Pseudomonas_aeruginosa_N002,1448
Pseudomonas_aeruginosa_Pae100_7256,1457
Pseudomonas_aeruginosa_Pae102_6011,1457
Pseudomonas_aeruginosa_Pae111_7123,1454
Pseudomonas_aeruginosa_Pae112_7021,1457
Pseudomonas_aeruginosa_Pae85_5932,1461
Pseudomonas_aeruginosa_PK6,1493
Pseudomonas_aeruginosa_Rsan-ver_10177,1464
Pseudomonas_aeruginosa_S14b_6337,1456
Pseudomonas_aeruginosa_S1e_7215,1465
Pseudomonas_aeruginosa_S1f_6658,1463
Pseudomonas_aeruginosa_S1g_6514,1464
Pseudomonas_aeruginosa_S1h_6791,1466
