CAZYs,Niche
101,Host_Associated
79,Host_Associated
100,Host_Associated
84,Host_Associated
95,Host_Associated
55,Host_Associated
85,Host_Associated
77,Host_Associated
76,Host_Associated
55,Host_Associated
60,Host_Associated
115,Host_Associated
95,Host_Associated
48,Host_Associated
74,Host_Associated
73,Host_Associated
82,Host_Associated
84,Host_Associated
82,Host_Associated
84,Host_Associated
84,Host_Associated
70,Host_Associated
74,Host_Associated
85,Host_Associated
101,Host_Associated
83,Host_Associated
82,Host_Associated
81,Host_Associated
100,Host_Associated
96,Host_Associated
88,Host_Associated
101,Host_Associated
94,Host_Associated
93,Host_Associated
82,Host_Associated
94,Host_Associated
93,Host_Associated
94,Host_Associated
91,Host_Associated
100,Host_Associated
93,Host_Associated
91,Host_Associated
99,Host_Associated
94,Host_Associated
91,Host_Associated
87,Host_Associated
91,Host_Associated
78,Host_Associated
97,Host_Associated
97,Host_Associated
97,Host_Associated
95,Host_Associated
93,Host_Associated
93,Host_Associated
91,Host_Associated
92,Host_Associated
95,Host_Associated
95,Host_Associated
86,Host_Associated
93,Host_Associated
93,Host_Associated
95,Host_Associated
95,Host_Associated
94,Host_Associated
94,Host_Associated
91,Host_Associated
91,Host_Associated
90,Host_Associated
94,Host_Associated
82,Host_Associated
92,Host_Associated
91,Host_Associated
95,Host_Associated
91,Host_Associated
82,Host_Associated
89,Host_Associated
91,Host_Associated
91,Host_Associated
91,Host_Associated
95,Host_Associated
91,Host_Associated
95,Host_Associated
97,Host_Associated
98,Host_Associated
92,Host_Associated
93,Host_Associated
93,Host_Associated
95,Host_Associated
94,Host_Associated
100,Host_Associated
97,Host_Associated
90,Host_Associated
95,Host_Associated
94,Host_Associated
96,Host_Associated
97,Host_Associated
91,Host_Associated
84,Host_Associated
91,Host_Associated
93,Host_Associated
94,Host_Associated
94,Host_Associated
95,Host_Associated
93,Host_Associated
97,Host_Associated
91,Host_Associated
94,Host_Associated
95,Host_Associated
96,Host_Associated
95,Host_Associated
92,Host_Associated
88,Host_Associated
91,Host_Associated
90,Host_Associated
90,Host_Associated
91,Host_Associated
94,Host_Associated
92,Host_Associated
93,Host_Associated
92,Host_Associated
95,Host_Associated
86,Host_Associated
86,Host_Associated
90,Host_Associated
90,Host_Associated
94,Host_Associated
90,Host_Associated
93,Host_Associated
95,Host_Associated
97,Host_Associated
101,Host_Associated
100,Host_Associated
97,Host_Associated
91,Host_Associated
95,Host_Associated
98,Host_Associated
92,Host_Associated
91,Host_Associated
91,Host_Associated
99,Host_Associated
95,Host_Associated
99,Host_Associated
100,Host_Associated
94,Host_Associated
97,Host_Associated
92,Host_Associated
91,Host_Associated
94,Host_Associated
92,Host_Associated
92,Host_Associated
91,Host_Associated
93,Host_Associated
100,Host_Associated
100,Host_Associated
88,Host_Associated
100,Host_Associated
93,Host_Associated
95,Host_Associated
93,Host_Associated
94,Host_Associated
93,Host_Associated
93,Host_Associated
95,Host_Associated
100,Host_Associated
87,Host_Associated
85,Host_Associated
92,Host_Associated
92,Host_Associated
100,Host_Associated
95,Host_Associated
90,Host_Associated
93,Host_Associated
95,Host_Associated
95,Host_Associated
95,Host_Associated
100,Host_Associated
94,Host_Associated
90,Host_Associated
92,Host_Associated
92,Host_Associated
98,Host_Associated
81,Host_Associated
86,Host_Associated
89,Host_Associated
94,Host_Associated
92,Host_Associated
90,Host_Associated
93,Host_Associated
93,Host_Associated
96,Host_Associated
94,Host_Associated
95,Host_Associated
93,Host_Associated
100,Host_Associated
99,Host_Associated
101,Host_Associated
92,Host_Associated
96,Host_Associated
96,Host_Associated
96,Host_Associated
94,Host_Associated
93,Host_Associated
95,Host_Associated
96,Host_Associated
94,Host_Associated
92,Host_Associated
95,Host_Associated
92,Host_Associated
91,Host_Associated
96,Host_Associated
94,Host_Associated
92,Host_Associated
94,Host_Associated
92,Host_Associated
98,Host_Associated
95,Host_Associated
91,Host_Associated
91,Host_Associated
92,Host_Associated
92,Host_Associated
92,Host_Associated
92,Host_Associated
92,Host_Associated
84,Host_Associated
91,Host_Associated
93,Host_Associated
92,Host_Associated
98,Host_Associated
94,Host_Associated
94,Host_Associated
89,Host_Associated
98,Host_Associated
96,Host_Associated
98,Host_Associated
90,Host_Associated
92,Host_Associated
97,Host_Associated
93,Host_Associated
95,Host_Associated
94,Host_Associated
99,Host_Associated
86,Host_Associated
95,Host_Associated
92,Host_Associated
96,Host_Associated
99,Host_Associated
103,Host_Associated
87,Host_Associated
87,Host_Associated
92,Host_Associated
91,Host_Associated
92,Host_Associated
87,Host_Associated
99,Host_Associated
94,Host_Associated
91,Host_Associated
97,Host_Associated
88,Host_Associated
81,Host_Associated
90,Host_Associated
92,Host_Associated
91,Host_Associated
91,Host_Associated
91,Host_Associated
90,Host_Associated
95,Host_Associated
95,Host_Associated
92,Host_Associated
94,Host_Associated
92,Host_Associated
99,Host_Associated
93,Host_Associated
93,Host_Associated
97,Host_Associated
94,Host_Associated
94,Host_Associated
91,Host_Associated
100,Host_Associated
95,Host_Associated
91,Host_Associated
95,Host_Associated
95,Host_Associated
90,Host_Associated
91,Host_Associated
93,Host_Associated
94,Host_Associated
94,Host_Associated
93,Host_Associated
94,Host_Associated
99,Host_Associated
94,Host_Associated
91,Host_Associated
85,Host_Associated
91,Host_Associated
86,Host_Associated
84,Host_Associated
92,Host_Associated
92,Host_Associated
96,Host_Associated
96,Host_Associated
97,Host_Associated
94,Host_Associated
94,Host_Associated
90,Host_Associated
91,Host_Associated
93,Host_Associated
84,Host_Associated
91,Host_Associated
98,Host_Associated
95,Host_Associated
90,Host_Associated
88,Host_Associated
90,Host_Associated
93,Host_Associated
89,Host_Associated
99,Host_Associated
96,Host_Associated
88,Host_Associated
93,Host_Associated
92,Host_Associated
95,Host_Associated
94,Host_Associated
91,Host_Associated
95,Host_Associated
96,Host_Associated
88,Host_Associated
92,Host_Associated
91,Host_Associated
88,Host_Associated
97,Host_Associated
97,Host_Associated
100,Host_Associated
98,Host_Associated
99,Host_Associated
91,Host_Associated
93,Host_Associated
94,Host_Associated
90,Host_Associated
87,Host_Associated
90,Host_Associated
94,Host_Associated
95,Host_Associated
91,Host_Associated
89,Host_Associated
94,Host_Associated
