genomes,Total_COGs
Pseudomonas_anguilliseptica_DSM_12111,1286
Pseudomonas_chlororaphis_subsp_piscium_DSM_21509_7525,1440
Pseudomonas_fluorescens_ML11A_5063,1391
Pseudomonas_mendocina_ZWU0006,1346
Pseudomonas_mosselii_Gil3_4049,1364
Pseudomonas_plecoglossicida_DJ-1_5949,1361
Pseudomonas_plecoglossicida_DSM_15088,1343
Pseudomonas_plecoglossicida_NB2011,1343
Pseudomonas_plecoglossicida_NBRC_103162,1343
Pseudomonas_plecoglossicida_NZBD9_6434,1351
Pseudomonas_plecoglossicida_XSDHY-P_6178,1348
Pseudomonas_sp_DrBHI1_5802,1360
Pseudomonas_sp_SNU_WT1_7571,1362
Pseudomonas_xanthomarina_DSM_18231,1274
