Genes,Trait
5989,Acuatic
5810,Acuatic
5523,Acuatic
6493,Acuatic
5752,Acuatic
6851,Acuatic
6567,Acuatic
6391,Acuatic
5814,Acuatic
6625,Acuatic
6775,Acuatic
5870,Acuatic
6047,Acuatic
6522,Acuatic
5914,Acuatic
5752,Acuatic
6630,Acuatic
5940,Acuatic
5797,Acuatic
5799,Acuatic
5738,Acuatic
5663,Acuatic
5785,Acuatic
5945,Acuatic
5871,Acuatic
5767,Acuatic
5792,Acuatic
5817,Acuatic
5889,Acuatic
5963,Acuatic
5723,Acuatic
5867,Acuatic
5924,Acuatic
5676,Acuatic
5684,Acuatic
5961,Acuatic
5815,Acuatic
6345,Acuatic
5680,Acuatic
5864,Acuatic
5773,Acuatic
5947,Acuatic
5816,Acuatic
5872,Acuatic
5863,Acuatic
5809,Acuatic
6109,Acuatic
5799,Acuatic
5815,Acuatic
5739,Acuatic
5775,Acuatic
6143,Acuatic
5933,Acuatic
6511,Acuatic
6362,Acuatic
5718,Acuatic
5754,Acuatic
5634,Acuatic
6299,Acuatic
5800,Acuatic
6464,Acuatic
5835,Acuatic
6245,Acuatic
6541,Acuatic
6453,Acuatic
5888,Acuatic
6088,Acuatic
5808,Acuatic
6442,Acuatic
6326,Acuatic
5921,Acuatic
6480,Acuatic
6480,Acuatic
6380,Acuatic
6329,Acuatic
5757,Acuatic
5968,Acuatic
6016,Acuatic
5956,Acuatic
6470,Acuatic
6088,Acuatic
6090,Acuatic
6001,Acuatic
5794,Acuatic
5750,Acuatic
5867,Acuatic
5781,Acuatic
5786,Acuatic
6652,Acuatic
6664,Acuatic
6649,Acuatic
6394,Acuatic
6347,Acuatic
6317,Acuatic
5763,Acuatic
5829,Acuatic
5771,Acuatic
5719,Acuatic
5771,Acuatic
5770,Acuatic
6037,Acuatic
5732,Acuatic
5797,Acuatic
5796,Acuatic
5805,Acuatic
6137,Acuatic
6582,Acuatic
6314,Acuatic
6282,Acuatic
6290,Acuatic
5653,Acuatic
5888,Acuatic
5898,Acuatic
5905,Acuatic
6394,Acuatic
6405,Acuatic
6579,Acuatic
5741,Acuatic
6103,Acuatic
6228,Acuatic
6344,Acuatic
6069,Acuatic
6291,Acuatic
6296,Acuatic
6394,Acuatic
6496,Acuatic
6315,Acuatic
6613,Acuatic
6493,Acuatic
6531,Acuatic
6169,Acuatic
6267,Acuatic
6427,Acuatic
6438,Acuatic
6070,Acuatic
6242,Acuatic
6211,Acuatic
6226,Acuatic
6483,Acuatic
6212,Acuatic
6035,Acuatic
6009,Acuatic
6394,Acuatic
5896,Acuatic
5942,Acuatic
5949,Acuatic
5951,Acuatic
5794,Acuatic
6485,Acuatic
6355,Acuatic
5696,Acuatic
6433,Acuatic
6289,Acuatic
6293,Acuatic
5877,Acuatic
5944,Acuatic
5724,Acuatic
5921,Acuatic
5909,Acuatic
5903,Acuatic
5905,Acuatic
5901,Acuatic
5915,Acuatic
5919,Acuatic
5918,Acuatic
5900,Acuatic
5911,Acuatic
5986,Acuatic
5971,Acuatic
5986,Acuatic
5980,Acuatic
5987,Acuatic
5724,Acuatic
5746,Acuatic
5769,Acuatic
5741,Acuatic
5779,Acuatic
6061,Acuatic
6398,Acuatic
6488,Acuatic
6384,Acuatic
6581,Acuatic
6390,Acuatic
6479,Acuatic
6238,Acuatic
6241,Acuatic
6400,Acuatic
5853,Acuatic
5788,Acuatic
6272,Acuatic
5548,Acuatic
6176,Acuatic
5834,Acuatic
6774,Acuatic
6293,Acuatic
6352,Acuatic
5848,Acuatic
5844,Acuatic
5846,Acuatic
5717,Acuatic
5718,Acuatic
5953,Acuatic
5951,Acuatic
5954,Acuatic
6206,Acuatic
6202,Acuatic
6202,Acuatic
5692,Acuatic
5897,Acuatic
6157,Acuatic
6258,Acuatic
5782,Acuatic
5866,Acuatic
6239,Acuatic
6261,Acuatic
5985,Acuatic
6112,Acuatic
6337,Acuatic
6047,Acuatic
6216,Acuatic
6313,Acuatic
5870,Acuatic
6169,Acuatic
5878,Acuatic
5922,Acuatic
6499,Acuatic
6224,Acuatic
6297,Acuatic
6113,Acuatic
6455,Acuatic
5736,Acuatic
6214,Acuatic
6300,Acuatic
5773,Acuatic
4439,Acuatic
4649,Acuatic
4025,Acuatic
4800,Acuatic
4851,Acuatic
4912,Acuatic
3943,Acuatic
5819,Acuatic
6022,Acuatic
6245,Acuatic
6253,Acuatic
6238,Acuatic
6254,Acuatic
6256,Acuatic
4268,Acuatic
4598,Acuatic
5134,Acuatic
6000,Acuatic
6071,Acuatic
3506,Acuatic
5810,Acuatic
5541,Acuatic
5774,Acuatic
5543,Acuatic
5830,Acuatic
6058,Acuatic
6084,Acuatic
5886,Acuatic
5144,Acuatic
6331,Acuatic
5976,Acuatic
6072,Acuatic
5411,Acuatic
3032,Acuatic
5815,Acuatic
6444,Acuatic
6082,Acuatic
6573,Acuatic
6294,Acuatic
4850,Acuatic
5014,Acuatic
5023,Acuatic
4766,Acuatic
4725,Acuatic
4788,Acuatic
5024,Acuatic
6188,Acuatic
5468,Acuatic
3446,Acuatic
6017,Acuatic
6444,Acuatic
6477,Acuatic
6026,Acuatic
6167,Acuatic
6178,Acuatic
6188,Acuatic
4427,Acuatic
4369,Acuatic
4422,Acuatic
4705,Acuatic
5319,Acuatic
5359,Acuatic
5134,Acuatic
6091,Acuatic
5538,Acuatic
5478,Acuatic
5552,Acuatic
4874,Acuatic
5883,Acuatic
5940,Acuatic
5509,Acuatic
5698,Acuatic
4528,Acuatic
5356,Acuatic
5333,Acuatic
4791,Acuatic
6863,Acuatic
6127,Acuatic
4616,Acuatic
4705,Acuatic
6589,Acuatic
5228,Acuatic
5746,Acuatic
6524,Acuatic
5431,Acuatic
5609,Acuatic
4975,Acuatic
5453,Acuatic
6226,Acuatic
5559,Acuatic
5559,Acuatic
5690,Acuatic
5726,Acuatic
5088,Acuatic
5954,Acuatic
3495,Acuatic
5156,Acuatic
4383,Acuatic
4504,Acuatic
6071,Acuatic
6084,Acuatic
5496,Acuatic
5166,Acuatic
5875,Acuatic
6504,Acuatic
6322,Acuatic
5916,Acuatic
4385,Acuatic
6511,Acuatic
4802,Acuatic
6069,Acuatic
6070,Acuatic
6071,Acuatic
5205,Acuatic
5305,Acuatic
6267,Acuatic
4900,Acuatic
4899,Acuatic
4709,Acuatic
