genomes,Total_COGs
Pseudomonas_aeruginosa_00041437_6471,1450
Pseudomonas_aeruginosa_001-5A_10078,1460
Pseudomonas_aeruginosa_001-5B_10054,1457
Pseudomonas_aeruginosa_001-6_10053,1463
Pseudomonas_aeruginosa_010-4_10048,1460
Pseudomonas_aeruginosa_014-2A_10072,1458
Pseudomonas_aeruginosa_020MIC_10043,1449
Pseudomonas_aeruginosa_0C2E,1464
Pseudomonas_aeruginosa_1046_PAER_2859,1453
Pseudomonas_aeruginosa_105777,1463
Pseudomonas_aeruginosa_105819,1455
Pseudomonas_aeruginosa_105857,1474
Pseudomonas_aeruginosa_1079_PAER_2864,1450
Pseudomonas_aeruginosa_1086_PAER_2865,1454
Pseudomonas_aeruginosa_1090_10259,1458
Pseudomonas_aeruginosa_110238627_10857,1462
Pseudomonas_aeruginosa_12-4-4_59_,1466
Pseudomonas_aeruginosa_128S180412BSL_PA2_11082,1475
Pseudomonas_aeruginosa_12939_6590,1459
Pseudomonas_aeruginosa_130_7339,1461
Pseudomonas_aeruginosa_130_PAER_2862,1467
Pseudomonas_aeruginosa_1311_10355,1452
Pseudomonas_aeruginosa_1324_PAER_2863,1448
Pseudomonas_aeruginosa_136S260811BSL_PA3_11092,1453
Pseudomonas_aeruginosa_138244,1451
Pseudomonas_aeruginosa_140_7096,1454
Pseudomonas_aeruginosa_141_10839,1462
Pseudomonas_aeruginosa_142_10879,1462
Pseudomonas_aeruginosa_1442_10356,1471
Pseudomonas_aeruginosa_144S190811BSL_PA1_11081,1472
Pseudomonas_aeruginosa_144S190811BSL_PA2_11079,1472
Pseudomonas_aeruginosa_145S200511BSL_PA2_11078,1459
Pseudomonas_aeruginosa_1463_10354,1452
Pseudomonas_aeruginosa_14650,1455
Pseudomonas_aeruginosa_1472_10345,1465
Pseudomonas_aeruginosa_1510_10353,1457
Pseudomonas_aeruginosa_152504sp2_10256,1465
Pseudomonas_aeruginosa_152504,1462
Pseudomonas_aeruginosa_1618_10341,1460
Pseudomonas_aeruginosa_1619_10351,1458
Pseudomonas_aeruginosa_1622_10340,1464
Pseudomonas_aeruginosa_1631_10350,1467
Pseudomonas_aeruginosa_1638_10339,1463
Pseudomonas_aeruginosa_163940_9946,1454
Pseudomonas_aeruginosa_1664_10347,1460
Pseudomonas_aeruginosa_1671_10335,1448
Pseudomonas_aeruginosa_1689_10334,1429
Pseudomonas_aeruginosa_1713_10333,1470
Pseudomonas_aeruginosa_1714_10346,1461
Pseudomonas_aeruginosa_173_6579,1468
Pseudomonas_aeruginosa_175S070312EX2DAY21_PA2_11100,1462
Pseudomonas_aeruginosa_18A,1438
Pseudomonas_aeruginosa_192S190811BSL_PA1_11091,1456
