genomes,Total_COGs
Pseudomonas_aeruginosa_1098_10263,1468
Pseudomonas_aeruginosa_856_contigs,1457
Pseudomonas_aeruginosa_886-1_contigs,1460
Pseudomonas_aeruginosa_903_contigs,1456
Pseudomonas_aeruginosa_994_contigs,1459
Pseudomonas_aeruginosa_A237_contigs,1459
Pseudomonas_aeruginosa_AUS120_10279,1457
Pseudomonas_aeruginosa_AUS124_10218,1464
Pseudomonas_aeruginosa_AUS138_10215,1456
Pseudomonas_aeruginosa_AUS149_10191,1472
Pseudomonas_aeruginosa_AUS154_10212,1458
Pseudomonas_aeruginosa_AUS165_10211,1461
Pseudomonas_aeruginosa_AUS186_10304,1457
Pseudomonas_aeruginosa_AUS207_10244,1452
Pseudomonas_aeruginosa_AUS213_10296,1457
Pseudomonas_aeruginosa_AUS225_10241,1470
Pseudomonas_aeruginosa_AUS229_10299,1460
Pseudomonas_aeruginosa_AUS232_10240,1456
Pseudomonas_aeruginosa_AUS283_10226,1462
Pseudomonas_aeruginosa_AUS309_10193,1463
Pseudomonas_aeruginosa_AUS336_10236,1470
Pseudomonas_aeruginosa_AUS345_10195,1461
Pseudomonas_aeruginosa_AUS353_10276,1461
Pseudomonas_aeruginosa_AUS389_10285,1466
Pseudomonas_aeruginosa_AUS392_10209,1460
Pseudomonas_aeruginosa_AUS423_10300,1463
Pseudomonas_aeruginosa_AUS441_10197,1463
Pseudomonas_aeruginosa_AUS442_10199,1466
Pseudomonas_aeruginosa_AUS456_10653,1465
Pseudomonas_aeruginosa_AUS457_contigs,1475
Pseudomonas_aeruginosa_AUS460_10293,1465
Pseudomonas_aeruginosa_AUS483_10208,1456
Pseudomonas_aeruginosa_GER_MD14_1510_Pae_083_7332,1461
Pseudomonas_aeruginosa_IC1_contigs,1448
Pseudomonas_aeruginosa_IDEXX_Canine4_contigs,1462
Pseudomonas_aeruginosa_IDEXX_Canine8_contigs,1464
Pseudomonas_aeruginosa_Jp245_contigs,1461
Pseudomonas_aeruginosa_KCJK8014_6402,1459
Pseudomonas_aeruginosa_KCJK8015_7165,1454
Pseudomonas_aeruginosa_KCJK8016_5927,1456
Pseudomonas_aeruginosa_LiA131_2005_10162,1466
Pseudomonas_aeruginosa_LiA133_2003_contigs,1456
Pseudomonas_aeruginosa_LiA161_2005_10112,1463
Pseudomonas_aeruginosa_LiA179_2006_10111,1455
Pseudomonas_aeruginosa_LiA18_2003_10108,1464
Pseudomonas_aeruginosa_LiA50_2005_10154,1459
Pseudomonas_aeruginosa_LiA63_2006_10107,1459
Pseudomonas_aeruginosa_LiA91_2004_10160,1455
Pseudomonas_aeruginosa_PA-W47_10308,1464
Pseudomonas_aeruginosa_SCVFeb,1460
Pseudomonas_aeruginosa_SCVJan,1460
Pseudomonas_aeruginosa_USDA-ARS-USMARC-41639,1460
Pseudomonas_aeruginosa_VET-120_contigs,1455
Pseudomonas_aeruginosa_VET-121_contigs,1445
Pseudomonas_aeruginosa_VET-122_contigs,1461
Pseudomonas_aeruginosa_VET-123_contigs,1454
Pseudomonas_aeruginosa_VET-124_contigs,1454
Pseudomonas_aeruginosa_VET-125_contigs,1461
Pseudomonas_aeruginosa_VET-21_contigs,1459
Pseudomonas_aeruginosa_VET-22_contigs,1472
Pseudomonas_aeruginosa_VET-23_contigs,1461
Pseudomonas_aeruginosa_VET-24_contigs,1452
Pseudomonas_aeruginosa_VET-25_contigs,1464
Pseudomonas_aeruginosa_VET-26_contigs,1464
Pseudomonas_aeruginosa_VET-27_contigs,1456
Pseudomonas_aeruginosa_VET-28_contigs,1454
Pseudomonas_aeruginosa_VET-29_contigs,1471
Pseudomonas_aeruginosa_VET-31_contigs,1471
Pseudomonas_aeruginosa_VET-32_contigs,1457
Pseudomonas_aeruginosa_VET-33_contigs,1460
Pseudomonas_aeruginosa_VET-34_contigs,1462
Pseudomonas_aeruginosa_VET-35_contigs,1454
Pseudomonas_aeruginosa_VET-36_contigs,1461
Pseudomonas_aeruginosa_VET-39-D2_contigs,1449
Pseudomonas_aeruginosa_VET-40_contigs,1463
Pseudomonas_aeruginosa_VET-41_contigs,1458
Pseudomonas_aeruginosa_VET-42_contigs,1466
Pseudomonas_aeruginosa_VET-43_contigs,1464
Pseudomonas_aeruginosa_VET-44_contigs,1453
Pseudomonas_aeruginosa_VET-45_contigs,1463
Pseudomonas_aeruginosa_VET-46_contigs,1460
Pseudomonas_aeruginosa_VET-47_contigs,1462
Pseudomonas_aeruginosa_VET-48_contigs,1459
Pseudomonas_aeruginosa_VET-49_contigs,1457
Pseudomonas_aeruginosa_VET-50_contigs,1442
Pseudomonas_aeruginosa_VET-51_contigs,1457
Pseudomonas_aeruginosa_VET-53_contigs,1450
Pseudomonas_aeruginosa_VET-54_contigs,1446
Pseudomonas_aeruginosa_VET-57_contigs,1434
Pseudomonas_aeruginosa_VET-58_contigs,1454
Pseudomonas_aeruginosa_VET-63_contigs,1451
Pseudomonas_aeruginosa_VET-67_contigs,1448
Pseudomonas_aeruginosa_VET-68_contigs,1457
Pseudomonas_aeruginosa_VET-70_contigs,1449
Pseudomonas_aeruginosa_VET-76_contigs,1454
Pseudomonas_aeruginosa_VET-78_contigs,1463
Pseudomonas_avellanae_ICMP_4330_contigs,1371
Pseudomonas_fluorescens_isolate_SRM1_2950,1389
Pseudomonas_fluorescens_PL54_6423,1387
Pseudomonas_fragi_F1786_6418,1320
Pseudomonas_helleri_DSM_28141_3043,1363
Pseudomonas_lactis_DSM_29167,1388
Pseudomonas_lundensis_L1788_6193,1324
Pseudomonas_paralactis_DSM_29164,1376
Pseudomonas_pseudoalcaligenes_NBRC_14167,1260
Pseudomonas_putida_NRRL_B-251_11536,1367
Pseudomonas_putida_NRRL_B-252_11535,1369
Pseudomonas_simiae_CCUG_50988_4067,1381
Pseudomonas_sp_AFG_SD02_1510_Pfu_092_5912,1323
Pseudomonas_sp_DSM_28140_3042,1318
Pseudomonas_sp_DSM_29142_3737,1385
Pseudomonas_sp_DSM_29164_3738,1376
Pseudomonas_sp_DSM_29167_3739,1388
Pseudomonas_sp._P1.31,1409
Pseudomonas_sp._TTU2014-066ASC,1272
Pseudomonas_sp._TTU2014-080ASC,1276
Pseudomonas_sp._TTU2014-096BSC,1285
Pseudomonas_sp._TTU2014-105ASC,1304
Pseudomonas_syringae_pv_delphinii_ICMP529_3824,1369
